Part,SN,Config,NO.,Mode,Gloss1,Gloss2,"Gloss_avg1,2",Gloss3,Gloss4,L1.D65,A1.D65,B1.D65,L1.F2,A1.F2,B1.F2,L1.A,A1.A,B1.A,L2.D65,A2.D65,B2.D65,L2.F2,A2.F2,B2.F2,L2.A,A2.A,B2.A,Lvalue,Avalue,Bvalue,"L.F2_avg1,2","A.F2_avg1,2","B.F2_avg1,2","L.A_avg1,2","A.A_avg1,2","B.A_avg1,2",L3.D65,A3.D65,B3.D65,L3.F2,A3.F2,B3.F2,L3.A,A3.A,B3.A,L4.D65,A4.D65,B4.D65,L4.F2,A4.F2,B4.F2,L4.A,A4.A,B4.A,F,Config 2,Items,dye1,dye2,Temp,Time,Na2SO4 (g/L),Dyeing pH,DE*cmc
Kickstand,MJS0000067207676,1,1,SCI,12.18,12.35,12.265,11.4,11.91,84.55,5.77,6.79,85.37,3.49,7.76,85.69,6.33,9.06,84.82,5.65,6.74,85.64,3.4,7.72,85.94,6.19,8.98,84.685,5.71,6.765,85.505,3.445,7.74,85.815,6.26,9.02,84.39,5.97,7.29,85.26,3.58,8.34,85.58,6.56,9.67,84.36,5.99,7.18,85.23,3.61,8.22,85.55,6.59,9.55,10.5,1,++++,0.3,0.048,16,8.4,1,6.8,1.74
Kickstand,MJS0000067310619,1,2,SCI,12.04,11.86,11.95,10.89,11.45,84.3,5.83,6.99,85.14,3.52,7.99,85.46,6.42,9.29,84.54,5.69,6.85,85.36,3.43,7.85,85.67,6.25,9.1,84.42,5.76,6.92,85.25,3.475,7.92,85.565,6.335,9.195,84.01,6.02,7.34,84.89,3.62,8.39,85.21,6.63,9.73,84.0,6.07,7.3,84.88,3.65,8.35,85.21,6.68,9.69,12.1,1,++++,0.3,0.048,16,8.4,1,6.8,1.82
Kickstand,MJS0000067385095,1,3,SCI,12.8,12.33,12.565,11.78,12.28,84.75,5.74,6.91,85.57,3.47,7.89,85.88,6.33,9.18,84.82,5.74,6.97,85.66,3.46,7.97,85.97,6.32,9.25,84.785,5.74,6.94,85.615,3.465,7.93,85.925,6.325,9.215,84.29,6.11,7.59,85.2,3.66,8.69,85.52,6.73,10.04,84.35,6.11,7.4,85.24,3.67,8.46,85.57,6.72,9.82,12.3,1,++++,0.3,0.048,16,8.4,1,6.8,1.75
Kickstand,MJS0000067384848,1,4,SCI,12.89,12.53,12.71,11.99,12.16,84.64,5.76,6.9,85.46,3.47,7.89,85.78,6.33,9.17,84.74,5.73,6.91,85.58,3.45,7.91,85.89,6.29,9.18,84.69,5.745,6.905,85.52,3.46,7.9,85.835,6.31,9.175,84.24,6.12,7.61,85.15,3.67,8.71,85.47,6.74,10.06,84.24,6.15,7.45,85.14,3.69,8.52,85.46,6.75,9.88,11.6,1,++++,0.3,0.048,16,8.4,1,6.8,1.77
Kickstand,MJS0000067343395,1,5,SCI,11.98,11.76,11.87,10.86,11.8,84.59,5.83,6.93,85.43,3.53,7.9,85.75,6.37,9.22,84.77,5.73,6.9,85.61,3.47,7.86,85.92,6.26,9.16,84.68,5.78,6.915,85.52,3.5,7.88,85.835,6.315,9.19,84.26,6.06,7.49,85.13,3.65,8.53,85.45,6.71,9.92,84.28,6.11,7.33,85.14,3.7,8.39,85.5,6.74,9.77,10.9,1,++++,0.3,0.048,16,8.4,1,6.8,1.81
Kickstand,MJS0000067241943,2,11,SCI,11.55,11.26,11.405,10.53,11.06,85.95,3.75,5.41,86.57,2.17,6.18,86.76,4.25,6.98,86.02,3.7,5.45,86.64,2.13,6.23,86.83,4.19,7.02,85.985,3.725,5.43,86.605,2.15,6.205,86.795,4.22,7.0,85.54,3.94,5.83,86.2,2.26,6.66,86.4,4.47,7.51,85.6,3.92,5.62,86.25,2.26,6.42,86.45,4.44,7.26,11.4,2,−−−+,0.2,0.032,14,8.4,1,6.8,0.95
Kickstand,MJS0000067310515,2,12,SCI,12.0,11.99,11.995,10.91,11.37,86.03,3.81,5.51,86.66,2.2,6.3,86.85,4.31,7.12,86.22,3.7,5.46,86.85,2.13,6.24,87.04,4.19,7.03,86.125,3.755,5.485,86.755,2.165,6.27,86.945,4.25,7.075,85.71,3.9,5.79,86.37,2.24,6.62,86.56,4.43,7.46,85.68,3.94,5.69,86.34,2.27,6.5,86.54,4.46,7.34,10.1,2,−−−+,0.2,0.032,14,8.4,1,6.8,0.9
Kickstand,MJS0000067241881,2,13,SCI,12.71,12.35,12.53,11.87,12.07,86.15,3.77,5.39,86.76,2.18,6.15,86.95,4.26,6.97,86.32,3.67,5.3,86.93,2.12,6.06,87.11,4.14,6.85,86.235,3.72,5.345,86.845,2.15,6.105,87.03,4.2,6.91,85.97,3.91,5.82,86.64,2.24,6.65,86.82,4.43,7.5,85.94,3.93,5.65,86.6,2.26,6.46,86.8,4.44,7.31,11.9,2,−−−+,0.2,0.032,14,8.4,1,6.8,0.97
Kickstand,MJS0000067310526,2,14,SCI,11.59,11.46,11.525,10.63,11.52,85.89,3.74,5.41,86.51,2.16,6.18,86.7,4.24,6.98,86.03,3.64,5.3,86.65,2.1,6.08,86.83,4.12,6.85,85.96,3.69,5.355,86.58,2.13,6.13,86.765,4.18,6.915,85.5,3.93,5.75,86.16,2.26,6.58,86.35,4.45,7.42,85.64,3.9,5.51,86.29,2.25,6.3,86.48,4.4,7.14,11.8,2,−−−+,0.2,0.032,14,8.4,1,6.8,1.01
Kickstand,MJS0000067310550,2,15,SCI,12.66,12.2,12.43,12.08,12.4,86.16,3.74,5.37,86.77,2.16,6.14,86.96,4.23,6.95,86.3,3.71,5.37,86.92,2.14,6.14,87.1,4.18,6.94,86.23,3.725,5.37,86.845,2.15,6.14,87.03,4.205,6.945,86.01,3.87,5.75,86.67,2.22,6.57,86.86,4.38,7.41,86.07,3.89,5.61,86.73,2.24,6.41,86.92,4.4,7.26,11.3,2,−−−+,0.2,0.032,14,8.4,1,6.8,0.96
Kickstand,MJS0000067241869,2,16,SCI,12.41,12.0,12.205,11.62,11.75,86.09,3.79,5.43,86.7,2.19,6.2,86.9,4.29,7.01,86.23,3.7,5.38,86.85,2.14,6.15,87.04,4.19,6.94,86.16,3.745,5.405,86.775,2.165,6.175,86.97,4.24,6.975,85.84,3.9,5.81,86.51,2.24,6.64,86.7,4.43,7.49,85.84,3.94,5.69,86.5,2.27,6.51,86.7,4.46,7.36,11.5,2,−−−+,0.2,0.032,14,8.4,1,6.8,0.93
Kickstand,MJS0000067501411,3,23,SCI,12.69,12.21,12.45,11.88,12.13,85.98,4.35,5.77,86.65,2.61,6.62,86.87,4.86,7.53,86.12,4.3,5.76,86.81,2.58,6.62,87.02,4.8,7.52,86.05,4.325,5.765,86.73,2.595,6.62,86.945,4.83,7.525,85.75,4.61,6.22,86.49,2.75,7.13,86.72,5.15,8.11,85.7,4.69,6.2,86.44,2.8,7.1,86.68,5.23,8.1,11.1,3,00A0,0.25,0.04,16,7.0,1,6.8,0.33
Kickstand,MJS0000067384931,3,24,SCI,12.2,12.25,12.225,11.19,12.09,85.99,4.38,5.77,86.66,2.63,6.61,86.89,4.89,7.54,86.26,4.23,5.66,86.94,2.53,6.49,87.15,4.71,7.38,86.125,4.305,5.715,86.8,2.58,6.55,87.02,4.8,7.46,85.55,4.63,6.26,86.29,2.76,7.18,86.52,5.17,8.16,85.7,4.68,6.18,86.44,2.79,7.09,86.67,5.21,8.08,10.3,3,00A0,0.25,0.04,16,7.0,1,6.8,0.37
Kickstand,MJS0000067343124,3,25,SCI,12.51,12.03,12.27,11.59,11.67,85.73,4.5,5.92,86.42,2.7,6.78,86.66,5.02,7.74,85.86,4.44,5.87,86.56,2.66,6.74,86.78,4.94,7.68,85.795,4.47,5.895,86.49,2.68,6.76,86.72,4.98,7.71,85.46,4.7,6.3,86.2,2.81,7.22,86.44,5.24,8.23,85.44,4.71,6.16,86.18,2.82,7.05,86.42,5.24,8.06,11.9,3,00A0,0.25,0.04,16,7.0,1,6.8,0.31
