Part,SN,Config,NO.,Mode,Gloss1,Gloss2,"Gloss_avg1,2",Gloss3,Gloss4,L1.D65,A1.D65,B1.D65,L1.F2,A1.F2,B1.F2,L1.A,A1.A,B1.A,L2.D65,A2.D65,B2.D65,L2.F2,A2.F2,B2.F2,L2.A,A2.A,B2.A,Lvalue,Avalue,Bvalue,"L.F2_avg1,2","A.F2_avg1,2","B.F2_avg1,2","L.A_avg1,2","A.A_avg1,2","B.A_avg1,2",L3.D65,A3.D65,B3.D65,L3.F2,A3.F2,B3.F2,L3.A,A3.A,B3.A,L4.D65,A4.D65,B4.D65,L4.F2,A4.F2,B4.F2,L4.A,A4.A,B4.A,F,Config 2,Items,dye1,dye2,Temp,Time,Na2SO4 (g/L),Dyeing pH,DE*cmc
Kickstand,MJS0000067207676,1,1,SCI,12.18,12.35,12.265,11.4,11.91,84.55,5.77,6.79,85.37,3.49,7.76,85.69,6.33,9.06,84.82,5.65,6.74,85.64,3.4,7.72,85.94,6.19,8.98,84.685,5.71,6.765,85.505,3.445,7.74,85.815,6.26,9.02,84.39,5.97,7.29,85.26,3.58,8.34,85.58,6.56,9.67,84.36,5.99,7.18,85.23,3.61,8.22,85.55,6.59,9.55,10.5,1,++++,0.3,0.048,16,8.4,1,6.8,1.74
Kickstand,MJS0000067310619,1,2,SCI,12.04,11.86,11.95,10.89,11.45,84.3,5.83,6.99,85.14,3.52,7.99,85.46,6.42,9.29,84.54,5.69,6.85,85.36,3.43,7.85,85.67,6.25,9.1,84.42,5.76,6.92,85.25,3.475,7.92,85.565,6.335,9.195,84.01,6.02,7.34,84.89,3.62,8.39,85.21,6.63,9.73,84,6.07,7.3,84.88,3.65,8.35,85.21,6.68,9.69,12.1,1,++++,0.3,0.048,16,8.4,1,6.8,1.82
Kickstand,MJS0000067385095,1,3,SCI,12.8,12.33,12.565,11.78,12.28,84.75,5.74,6.91,85.57,3.47,7.89,85.88,6.33,9.18,84.82,5.74,6.97,85.66,3.46,7.97,85.97,6.32,9.25,84.785,5.74,6.94,85.615,3.465,7.93,85.925,6.325,9.215,84.29,6.11,7.59,85.2,3.66,8.69,85.52,6.73,10.04,84.35,6.11,7.4,85.24,3.67,8.46,85.57,6.72,9.82,12.3,1,++++,0.3,0.048,16,8.4,1,6.8,1.75
Kickstand,MJS0000067384848,1,4,SCI,12.89,12.53,12.71,11.99,12.16,84.64,5.76,6.9,85.46,3.47,7.89,85.78,6.33,9.17,84.74,5.73,6.91,85.58,3.45,7.91,85.89,6.29,9.18,84.69,5.745,6.905,85.52,3.46,7.9,85.835,6.31,9.175,84.24,6.12,7.61,85.15,3.67,8.71,85.47,6.74,10.06,84.24,6.15,7.45,85.14,3.69,8.52,85.46,6.75,9.88,11.6,1,++++,0.3,0.048,16,8.4,1,6.8,1.77
Kickstand,MJS0000067343395,1,5,SCI,11.98,11.76,11.87,10.86,11.8,84.59,5.83,6.93,85.43,3.53,7.9,85.75,6.37,9.22,84.77,5.73,6.9,85.61,3.47,7.86,85.92,6.26,9.16,84.68,5.78,6.915,85.52,3.5,7.88,85.835,6.315,9.19,84.26,6.06,7.49,85.13,3.65,8.53,85.45,6.71,9.92,84.28,6.11,7.33,85.14,3.7,8.39,85.5,6.74,9.77,10.9,1,++++,0.3,0.048,16,8.4,1,6.8,1.81
Kickstand,MJS0000067310632,1,6,SCI,12.67,12.21,12.44,11.82,12.05,84.82,5.68,6.72,85.61,3.48,7.69,85.91,6.25,8.94,84.99,5.64,6.73,85.78,3.38,7.69,86.11,6.13,8.94,84.905,5.66,6.725,85.695,3.43,7.69,86.01,6.19,8.94,84.55,6.07,7.48,85.46,3.65,8.58,85.79,6.64,9.94,84.58,5.96,7.05,85.43,3.62,8.12,85.7,6.53,9.42,11.5,1,++++,0.3,0.048,16,8.4,1,6.8,1.65
Bucket,MJS0000067063153,1,7,SCI,11.82,12.18,12,12.1,12.8,84.59,5.84,6.97,85.43,3.51,7.99,85.75,6.42,9.3,84.65,5.85,6.93,85.5,3.52,7.94,85.81,6.4,9.24,84.62,5.845,6.95,85.465,3.515,7.965,85.78,6.41,9.27,83.41,6.27,7.67,84.33,3.76,8.79,84.67,6.9,10.16,83.67,6.32,7.86,84.59,3.77,9.01,84.93,6.96,10.38,11.4,1,++++,0.3,0.048,16,8.4,1,6.8,1.9
Bucket,MJS0000067311163,1,8,SCI,12.57,12.72,12.645,15.5,16.1,84.96,5.6,6.65,85.76,3.37,7.62,86.07,6.16,8.87,84.96,5.66,6.68,85.77,3.41,7.66,86.07,6.2,8.92,84.96,5.63,6.665,85.765,3.39,7.64,86.07,6.18,8.895,84.36,6.1,7.36,85.26,3.66,8.43,85.58,6.68,9.79,85.74,6.27,7.69,86.67,3.74,8.82,86.99,6.86,10.2,11.7,1,++++,0.3,0.048,16,8.4,1,6.8,1.62
Bucket,MJS0000067207284,1,9,SCI,11.33,12.04,11.685,11.7,12.6,84.85,5.64,6.58,85.66,3.4,7.54,85.96,6.19,8.81,84.98,5.64,6.57,85.78,3.4,7.53,86.09,6.17,8.79,84.915,5.64,6.575,85.72,3.4,7.535,86.025,6.18,8.8,83.22,6.31,7.64,84.15,3.78,8.76,84.49,6.92,10.15,85.07,6.25,7.65,85.98,3.73,8.77,86.31,6.85,10.15,10.8,1,++++,0.3,0.048,16,8.4,1,6.8,1.66
Bucket,MJS0000067240412,1,10,SCI,11.74,12.47,12.105,15.2,15.6,84.67,5.85,6.97,85.52,3.52,7.98,85.84,6.43,9.29,84.82,5.81,6.91,85.65,3.49,7.91,85.97,6.37,9.21,84.745,5.83,6.94,85.585,3.505,7.945,85.905,6.4,9.25,84.23,6.21,7.58,85.14,3.72,8.7,85.47,6.82,10.06,84.94,6.21,7.73,85.86,3.7,8.86,86.18,6.83,10.22,12,1,++++,0.3,0.048,16,8.4,1,6.8,1.86
